temporada,Charles Leclerc,Fernando Alonso,Kimi Räikkönen,Lewis Hamilton,Max Verstappen,Michael Schumacher,Nico Rosberg,Sebastian Vettel,Sergio Pérez,Valtteri Bottas
1991,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,678.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,9.0,0.0,0.0,801.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,33.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0
2003,0.0,55.0,124.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0
2004,0.0,114.0,169.0,0.0,0.0,1186.0,0.0,0.0,0.0,0.0
2005,0.0,247.0,281.0,0.0,0.0,1248.0,0.0,0.0,0.0,0.0
2006,0.0,381.0,346.0,0.0,0.0,1369.0,4.0,0.0,0.0,0.0
2007,0.0,490.0,456.0,109.0,0.0,1369.0,24.0,6.0,0.0,0.0
2008,0.0,551.0,531.0,207.0,0.0,1369.0,41.0,41.0,0.0,0.0
2009,0.0,577.0,579.0,256.0,0.0,1369.0,75.5,125.0,0.0,0.0
2010,0.0,829.0,579.0,496.0,0.0,1441.0,217.5,381.0,0.0,0.0
2011,0.0,1086.0,579.0,723.0,0.0,1517.0,306.5,773.0,14.0,0.0
2012,0.0,1364.0,786.0,913.0,0.0,1566.0,399.5,1054.0,80.0,0.0
2013,0.0,1606.0,969.0,1102.0,0.0,1566.0,570.5,1451.0,129.0,4.0
2014,0.0,1767.0,1024.0,1486.0,0.0,1566.0,887.5,1618.0,188.0,190.0
2015,0.0,1778.0,1174.0,1867.0,49.0,1566.0,1209.5,1896.0,266.0,326.0
2016,0.0,1832.0,1360.0,2247.0,253.0,1566.0,1594.5,2108.0,367.0,411.0
2017,0.0,1849.0,1565.0,2610.0,421.0,1566.0,1594.5,2425.0,467.0,716.0
2018,39.0,1899.0,1816.0,3018.0,670.0,1566.0,1594.5,2745.0,529.0,963.0
2019,303.0,1899.0,1859.0,3431.0,948.0,1566.0,1594.5,2985.0,581.0,1289.0
2020,401.0,1899.0,1863.0,3778.0,1162.0,1566.0,1594.5,3018.0,706.0,1512.0
2021,560.0,1980.0,1873.0,4163.5,1550.5,1566.0,1594.5,3061.0,896.0,1731.0
2022,851.0,2061.0,1873.0,4396.5,1983.5,1566.0,1594.5,3098.0,1187.0,1778.0
2023,1036.0,2259.0,1873.0,4613.5,2513.5,1566.0,1594.5,3098.0,1447.0,1788.0
2024,1363.0,2329.0,1873.0,4820.5,2912.5,1566.0,1594.5,3098.0,1585.0,1788.0
